indiv,geography,seqtot,distance,NS1NS2,site_mission
M410,symp,R.d.dilectus,1.41421356237,SO15_NS3_novb12/SO15_NS5_novb12,SO15_novb12
M397,allo,R.pumilio.nord,4.472135955,SO14_NS1_novb12/SO14_NS3_novb12,SO14_novb12
M397,allo,R.pumilio.nord,8.60232526704,SO14_NS1_novb12/SO14_NS2_novb12,SO14_novb12
M397,allo,R.pumilio.nord,10.295630141,SO14_NS3_novb12/SO14_NS2_novb12,SO14_novb12
M383,allo,R.pumilio.nord,5,SO10_NS10_novb12/SO10_NS4_novb12,SO10_novb12
M383,allo,R.pumilio.nord,28.319604517,SO10_NS10_novb12/SO10_NS2_novb12,SO10_novb12
M383,allo,R.pumilio.nord,46.6154480832,SO10_NS10_novb12/SO10_NS13_novb12,SO10_novb12
M383,allo,R.pumilio.nord,31.8904374382,SO10_NS4_novb12/SO10_NS2_novb12,SO10_novb12
M383,allo,R.pumilio.nord,49.6789693935,SO10_NS4_novb12/SO10_NS13_novb12,SO10_novb12
M383,allo,R.pumilio.nord,18.7882942281,SO10_NS2_novb12/SO10_NS13_novb12,SO10_novb12
M377,allo,R.d.dilectus,2.2360679775,SO8_NS9_novb12/SO8_NS4_novb12,SO8_novb12
M377,allo,R.d.dilectus,7.61577310586,SO8_NS9_novb12/SO8_NS17_novb12,SO8_novb12
M377,allo,R.d.dilectus,6.0827625303,SO8_NS4_novb12/SO8_NS17_novb12,SO8_novb12
M35,symp,R.pumilio.nord,38.6393581727,E_novb11/F_novb11,SAN_1_4_5_1G_8_novb11
M308,allo,R.d.dilectus,41,SO8_NS36_novb12/SO8_NS29_novb12,SO8_novb12
M308,allo,R.d.dilectus,45.4532727095,SO8_NS36_novb12/SO8_NS25_novb12,SO8_novb12
M308,allo,R.d.dilectus,62.4259561401,SO8_NS36_novb12/SO8_NS18B_novb12,SO8_novb12
M308,allo,R.d.dilectus,63.0079360081,SO8_NS36_novb12/SO8_NS19_novb12,SO8_novb12
M308,allo,R.d.dilectus,28.231188427,SO8_NS29_novb12/SO8_NS25_novb12,SO8_novb12
M308,allo,R.d.dilectus,29.1547594742,SO8_NS29_novb12/SO8_NS18B_novb12,SO8_novb12
M308,allo,R.d.dilectus,30.083217913,SO8_NS29_novb12/SO8_NS19_novb12,SO8_novb12
M308,allo,R.d.dilectus,22.0227155455,SO8_NS25_novb12/SO8_NS18B_novb12,SO8_novb12
M308,allo,R.d.dilectus,22.0907220344,SO8_NS25_novb12/SO8_NS19_novb12,SO8_novb12
M308,allo,R.d.dilectus,1,SO8_NS18B_novb12/SO8_NS19_novb12,SO8_novb12
M30,symp,R.pumilio.nord,7.61577310586,AI_novb11/AH_novb11,SAN2_RHINO_novb11
M30,symp,R.pumilio.nord,9.43398113206,AI_novb11/AM_novb11,SAN2_RHINO_novb11
M30,symp,R.pumilio.nord,18.3575597507,AI_novb11/AN_novb11,SAN2_RHINO_novb11
M30,symp,R.pumilio.nord,2.2360679775,AH_novb11/AM_novb11,SAN2_RHINO_novb11
M30,symp,R.pumilio.nord,10.8166538264,AH_novb11/AN_novb11,SAN2_RHINO_novb11
M30,symp,R.pumilio.nord,8.94427191,AM_novb11/AN_novb11,SAN2_RHINO_novb11
M264,allo,R.d.dilectus,12.5299640861,SO8_NS30_novb12/SO8_NS24_novb12,SO8_novb12
M264,allo,R.d.dilectus,50.8035431835,SO8_NS30_novb12/SO8_NS17B_novb12,SO8_novb12
M264,allo,R.d.dilectus,66.6033032214,SO8_NS30_novb12/SO8_NS18_novb12,SO8_novb12
M264,allo,R.d.dilectus,80.5046582503,SO8_NS30_novb12/SO8_NS14_novb12,SO8_novb12
M264,allo,R.d.dilectus,41.7851648316,SO8_NS24_novb12/SO8_NS17B_novb12,SO8_novb12
M264,allo,R.d.dilectus,63.41135545,SO8_NS24_novb12/SO8_NS18_novb12,SO8_novb12
M264,allo,R.d.dilectus,69.0651865993,SO8_NS24_novb12/SO8_NS14_novb12,SO8_novb12
M264,allo,R.d.dilectus,35,SO8_NS17B_novb12/SO8_NS18_novb12,SO8_novb12
M264,allo,R.d.dilectus,34.9857113691,SO8_NS17B_novb12/SO8_NS14_novb12,SO8_novb12
