indiv;date;date_mission;site_mission;seqtot;sexe;NS_name_mission;geography;x;y;nuit
M587;16/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NST26_novb12;allo;371453;6946617;7
M582;05/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS10_novb12;allo;370555;6945751;4
M582;04/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS3_novb12;allo;370550;6945742;4
M582;06/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS3_novb12;allo;370550;6945742;4
M582;07/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS3_novb12;allo;370550;6945742;4
M578;06/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS2_novb12;allo;372377;6938023;6
M578;09/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS2_novb12;allo;372377;6938023;6
M578;10/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS2_novb12;allo;372377;6938023;6
M578;07/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4B_NS2_novb12;allo;372373;6938024;6
M578;08/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS4_novb12;allo;372358;6938025;6
M578;11/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS4_novb12;allo;372358;6938025;6
M576;04/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS2_novb12;allo;370598;6945816;6
M576;05/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS2_novb12;allo;370598;6945816;6
M576;06/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS2_novb12;allo;370598;6945816;6
M576;07/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS2_novb12;allo;370598;6945816;6
M576;08/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS23_novb12;allo;370598;6945811;6
M576;09/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS27_novb12;allo;370596;6945805;6
M574;07/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS3_novb12;allo;372385;6937982;8
M574;10/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS9_novb12;allo;372380;6938100;8
M574;13/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS9_novb12;allo;372380;6938100;8
M574;11/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS11_novb12;allo;372377;6938121;8
M574;12/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS11_novb12;allo;372377;6938121;8
M574;14/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS11_novb12;allo;372377;6938121;8
M574;09/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4B_NST9_novb12;allo;372364;6938044;8
M574;08/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS5_novb12;allo;372359;6938051;8
M570;18/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS7_novb12;allo;372527;6937904;6
M570;13/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS6_novb12;allo;372502;6937939;6
M570;14/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS6_novb12;allo;372502;6937939;6
M570;16/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS6_novb12;allo;372502;6937939;6
M570;17/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS6_novb12;allo;372502;6937939;6
M570;15/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS2_novb12;allo;372455;6937939;6
M569;11/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS10_novb12;allo;372320;6938027;7
M569;10/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4B_NST2_novb12;allo;372319;6938014;7
