site_mission seqtot geography distance
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 49.3963561409
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 57.1401785086
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 76.8374908492
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 42.5793377121
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 48.3321838944
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 67.1192967782
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 13.152946438
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 33.1058907145
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 20.8086520467
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 6
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 40.2616442784
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 42.4499705536
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 2.2360679775
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 13.0384048104
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 22.803508502
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 24.8394846967
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 31.9061122671
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 34.1320963318
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 2.2360679775
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 43.0116263352
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 80.0562302385
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 47
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 118.105884697
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 139.230025497
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 65.4599113962
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 73.7360156233
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 21.2132034356
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 58.2408791142
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 53.310411741
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 78.0896920214
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 72.2772439984
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 8.60232526704
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 4.12310562562
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 19.1049731745
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 15.0332963784
SAN2_RHINO_novb11 R.d.dilectus symp 0
SAN2_RHINO_novb11 R.pumilio.nord symp 19.2353840617
SAN2_RHINO_novb11 R.pumilio.nord symp 47.1699056603
SAN2_RHINO_novb11 R.pumilio.nord symp 73.7902432575
SAN2_RHINO_novb11 R.pumilio.nord symp 27.2029410175
SAN2_RHINO_novb11 R.pumilio.nord symp 0
SAN2_RHINO_novb11 R.d.dilectus symp 28.0178514522
SAN2_RHINO_novb11 R.pumilio.nord symp 7.61577310586
SAN2_RHINO_novb11 R.pumilio.nord symp 9.43398113206
SAN2_RHINO_novb11 R.pumilio.nord symp 18.3575597507
SAN2_RHINO_novb11 R.pumilio.nord symp 2.2360679775
SAN2_RHINO_novb11 R.pumilio.nord symp 10.8166538264
SAN2_RHINO_novb11 R.pumilio.nord symp 8.94427191
SAN2_RHINO_novb11 R.d.dilectus symp 9.21954445729
SO10_novb12 R.pumilio.nord allo 49.040799341
SO10_novb12 R.pumilio.nord allo 30.083217913
SO10_novb12 R.pumilio.nord allo 56.7538544947
SO10_novb12 R.pumilio.nord allo 38.6264158317
SO10_novb12 R.pumilio.nord allo 52.6307894678
SO10_novb12 R.pumilio.nord allo 27.1661554144
SO10_novb12 R.pumilio.nord allo 20.2484567313
SO10_novb12 R.pumilio.nord allo 18.7882942281
SO10_novb12 R.pumilio.nord allo 20.2484567313
SO10_novb12 R.pumilio.nord allo 3
SO10_novb12 R.pumilio.nord allo 60.0083327547
SO10_novb12 R.pumilio.nord allo 58.8217646794
SO10_novb12 R.pumilio.nord allo 49.6789693935
SO10_novb12 R.pumilio.nord allo 12.2065556157
SO10_novb12 R.pumilio.nord allo 88.1192374002
SO10_novb12 R.pumilio.nord allo 80.099937578
SO14_novb12 R.pumilio.nord allo 36.0138862107
SO14_novb12 R.pumilio.nord allo 40.1123422403
SO14_novb12 R.pumilio.nord allo 4.472135955
SO14_novb12 R.pumilio.nord allo 4.472135955
SO14_novb12 R.pumilio.nord allo 8.60232526704
SO14_novb12 R.pumilio.nord allo 10.295630141
SO15_novb12 R.d.dilectus symp 22.825424421
SO15_novb12 R.d.dilectus symp 22.4722050542
SO15_novb12 R.d.dilectus symp 26.4196896272
SO15_novb12 R.d.dilectus symp 1.41421356237
SO15_novb12 R.d.dilectus symp 3.60555127546
SO15_novb12 R.d.dilectus symp 4.12310562562
SO15_novb12 R.pumilio.nord symp 5.09901951359
SO15_novb12 R.pumilio.nord symp 5.83095189485
SO15_novb12 R.pumilio.nord symp 2
SO15_novb12 R.d.dilectus symp 4.12310562562
SO15_novb12 R.d.dilectus symp 14.0356688476
SO15_novb12 R.d.dilectus symp 10
SO8_novb12 R.d.dilectus allo 10.6301458127
SO8_novb12 R.d.dilectus allo 29.1204395571
SO8_novb12 R.d.dilectus allo 32.2024843762
SO8_novb12 R.d.dilectus allo 6.0827625303
SO8_novb12 R.d.dilectus allo 5.38516480713
SO8_novb12 R.d.dilectus allo 5.83095189485
SO8_novb12 R.d.dilectus allo 1
SO8_novb12 R.d.dilectus allo 5.65685424949
SO8_novb12 R.d.dilectus allo 3.60555127546
SO8_novb12 R.d.dilectus allo 84.6286003665
SO8_novb12 R.d.dilectus allo 2.2360679775
SO8_novb12 R.d.dilectus allo 83.868945385
SO8_novb12 R.d.dilectus allo 83.4086326467
SO8_novb12 R.d.dilectus allo 18
SO8_novb12 R.d.dilectus allo 22.4722050542
SO8_novb12 R.d.dilectus allo 22.1359436212
SO8_novb12 R.d.dilectus allo 26.9258240357
SO8_novb12 R.d.dilectus allo 8.54400374532
SO8_novb12 R.d.dilectus allo 7.61577310586
SO8_novb12 R.d.dilectus allo 12.2065556157
SO8_novb12 R.d.dilectus allo 1
SO8_novb12 R.d.dilectus allo 4.472135955
SO8_novb12 R.d.dilectus allo 5
SO8_novb12 R.d.dilectus allo 5.09901951359
SO8_novb12 R.d.dilectus allo 10.1980390272
SO8_novb12 R.d.dilectus allo 5.09901951359
SO8_novb12 R.d.dilectus allo 12.5299640861
SO8_novb12 R.d.dilectus allo 50.8035431835
SO8_novb12 R.d.dilectus allo 66.6033032214
SO8_novb12 R.d.dilectus allo 80.5046582503
SO8_novb12 R.d.dilectus allo 41.7851648316
SO8_novb12 R.d.dilectus allo 63.41135545
SO8_novb12 R.d.dilectus allo 69.0651865993
SO8_novb12 R.d.dilectus allo 35
SO8_novb12 R.d.dilectus allo 34.9857113691
SO8_novb12 R.d.dilectus allo 60.9015599143
SO8_novb12 R.d.dilectus allo 41
SO8_novb12 R.d.dilectus allo 45.4532727095
