indiv,INNS,night,site_mission,seqtot,sexe,geography,NS1NS2,distance
M601,3,5,BL3_novb12,R.d.dilectus,M,allo,BL3_NS28_novb12/BL3_NS37_novb12,13.6014705087
F580,3,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS10C_novb12/BL4_NS8C_novb12,26.3058928759
F580,3,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS10C_novb12/BL4_NS5C_novb12,19.3132079158
F580,3,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS8C_novb12/BL4_NS5C_novb12,8.54400374532
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS10N_novb12/BL4_NS9N_novb12,22.4722050542
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS10N_novb12/BL4_NS7C_novb12,21.400934559
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS10N_novb12/BL4_NS1C_novb12,26.9072480941
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS10N_novb12/BL4_NS2C_novb12,47.7074417675
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS9N_novb12/BL4_NS7C_novb12,2.2360679775
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS9N_novb12/BL4_NS1C_novb12,8.0622577483
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS9N_novb12/BL4_NS2C_novb12,28.8617393793
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS7C_novb12/BL4_NS1C_novb12,7.07106781187
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS7C_novb12/BL4_NS2C_novb12,28.4604989415
F597,5,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS1C_novb12/BL4_NS2C_novb12,21.5406592285
F603,3,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS1N_novb12/BL4_NS2N_novb12,23.8537208838
F603,3,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS1N_novb12/BL4_NS5N_novb12,27.4590604355
F603,3,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS2N_novb12/BL4_NS5N_novb12,3.60555127546
F605,4,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS1N_novb12/BL4_NS18C_novb12,17.0293863659
F605,4,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS1N_novb12/BL4_NS7N_novb12,12.8062484749
F605,4,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS1N_novb12/BL4_NS5N_novb12,27.4590604355
F605,4,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS18C_novb12/BL4_NS7N_novb12,9.89949493661
F605,4,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS18C_novb12/BL4_NS5N_novb12,15.2315462117
F605,4,6,BL4_novb12,R.d.dilectus,F,allo,BL4_NS7N_novb12/BL4_NS5N_novb12,14.7648230602
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6N_novb12/BL4_NS4N_novb12,9.48683298051
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6N_novb12/BL4_NS11C_novb12,48.3011387029
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6N_novb12/BL4_NS6C_novb12,57.2450871254
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6N_novb12/BL4_NST22_novb12,73.5459040328
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6N_novb12/BL4_NST26_novb12,181.664525981
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4N_novb12/BL4_NS11C_novb12,38.9486841883
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4N_novb12/BL4_NS6C_novb12,47.8852795753
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4N_novb12/BL4_NST22_novb12,64.1326749793
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4N_novb12/BL4_NST26_novb12,173.366663462
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS11C_novb12/BL4_NS6C_novb12,8.94427191
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS11C_novb12/BL4_NST22_novb12,29.8328677804
